model,scenario,image_path,compute_time_sec
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Diospyros confertiflora Hiern\IMG_20241125_085526.jpg,0.013872861862182617
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Excoecaria cochinchinensis Lour\IMG_20241125_103957.jpg,0.0157315731048584
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Dillenia sp\IMG_20241113_110909.jpg,0.013770580291748047
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Mussaenda philippica\IMG_20241109_141041.jpg,0.01569342613220215
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Koompassia excelsa (Becc.) Taub\IMG_20241123_093750.jpg,0.016085386276245117
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ruellia simplex C.Wright\IMG_20241113_105055.jpg,0.01586294174194336
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alocasia macrorrhizos\IMG_20241106_104836.jpg,0.011762857437133789
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ctenanthe burle-marxii H.Kenn\IMG_20241109_144526.jpg,0.017666339874267578
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Costus woodsonii Maas\IMG_20241125_104501.jpg,0.01176309585571289
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult\IMG_20241125_115053.jpg,0.010013341903686523
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha wilkesiana Müll.Arg\IMG_20241123_091926.jpg,0.0020051002502441406
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Koompassia excelsa (Becc.) Taub\IMG_20241113_103016.jpg,0.013635396957397461
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Koompassia excelsa (Becc.) Taub\IMG_20241123_093729.jpg,0.015704870223999023
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Licuala spinosa\IMG_20241125_091706.jpg,0.006012678146362305
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Diospyros confertiflora Hiern\IMG_20241125_085638.jpg,0.01608443260192871
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Codiaeum variegatum (L.) Rumph. ex A.Juss\IMG_20241019_122352.jpg,0.01611804962158203
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Vatica umbonata Burck\IMG_20241125_090855.jpg,0.01567697525024414
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Grammatophyllum speciosum\IMG_20241125_103346.jpg,0.016107559204101562
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Borassodendron borneensis J. Dransf\IMG_20241019_114627.jpg,0.0
